size_m2,bedrooms,age_years,distance_km,has_garage,neighborhood_quality,price_million_idr
114.5,2,2.1,7.25,0,5,180.5
105.1,3,7.1,7.0,1,3,127.14
84.6,4,1.6,2.16,1,4,169.23
62.1,2,14.6,0.2,1,3,145.18
148.8,3,8.9,4.65,1,5,243.69
122.6,2,22.6,11.55,1,4,149.24
74.9,4,3.7,0.2,1,4,116.47
74.7,1,2.7,10.13,0,2,162.86
108.2,3,7.8,25.2,1,2,144.06
178.4,5,39.2,18.18,1,2,191.36
110.9,2,18.6,23.15,0,2,48.97
67.4,4,8.1,13.13,0,4,113.61
111.4,2,10.9,19.34,1,1,66.0
110.5,1,1.3,4.21,1,1,152.1
30.0,3,62.6,4.85,0,2,48.47
118.1,4,16.5,0.2,1,2,144.22
111.9,7,5.0,19.49,1,2,136.17
144.4,4,13.2,22.32,0,4,186.71
184.7,6,1.7,5.57,1,3,297.97
159.4,4,50.6,7.97,1,1,195.15
110.6,1,2.9,3.97,1,3,166.82
81.3,1,15.7,13.06,1,3,83.95
210.1,7,4.2,19.0,1,2,133.2
122.1,4,19.0,0.2,0,3,181.59
120.5,3,22.5,13.28,1,4,153.9
119.2,3,16.8,7.79,1,4,173.66
126.9,3,14.3,10.91,1,4,170.75
114.9,3,33.4,13.67,0,1,46.27
99.9,1,1.2,8.49,1,5,171.81
100.9,1,6.0,9.17,1,4,155.71
118.9,3,4.3,8.29,0,5,197.69
101.0,1,66.4,17.76,1,1,68.59
95.1,3,7.4,13.35,1,5,174.09
123.7,3,19.8,11.76,1,4,149.37
111.1,1,17.3,0.2,1,4,159.58
172.6,2,3.6,6.97,1,1,168.63
30.0,1,4.1,17.19,0,4,52.21
158.2,2,5.0,10.3,1,5,235.28
163.6,4,7.9,15.28,1,3,205.04
47.4,4,4.0,24.13,1,3,134.93
108.0,1,0.3,18.31,1,5,203.68
107.0,3,31.7,10.75,1,3,132.26
70.7,3,50.5,5.91,0,3,10.0
92.8,2,6.3,0.2,1,3,184.69
81.1,2,6.2,8.65,0,5,118.96
181.3,3,0.1,7.39,1,1,159.49
152.7,2,17.1,13.12,1,3,145.89
164.5,3,26.2,8.77,1,3,170.19
145.3,2,2.4,7.44,1,4,206.79
80.5,1,2.6,0.2,1,3,82.8
101.6,1,23.4,2.48,1,5,128.07
137.1,3,14.4,13.81,0,5,183.28
77.2,4,0.7,23.73,1,1,87.81
145.0,4,14.6,9.22,1,3,201.85
111.6,3,5.5,12.62,1,1,88.33
106.9,3,6.9,17.62,1,3,95.66
144.9,6,22.0,3.51,1,3,197.91
135.5,4,25.0,12.93,1,5,197.81
107.4,4,7.7,4.08,1,4,228.43
160.6,5,44.1,16.92,0,2,82.69
82.2,1,7.8,11.21,0,1,52.17
141.6,4,22.2,12.39,1,3,128.21
140.8,2,9.9,3.74,1,3,125.73
109.2,4,34.2,15.66,0,2,130.11
131.4,5,35.8,26.68,1,4,158.9
76.2,2,1.4,1.94,1,5,175.92
152.3,4,41.3,7.28,1,3,207.62
113.5,1,26.2,11.85,1,4,115.7
101.7,2,23.5,16.29,1,3,92.9
156.7,4,3.4,5.52,1,4,287.45
95.3,1,24.5,0.2,1,3,123.12
70.7,1,28.5,20.87,1,2,64.2
65.5,1,5.1,16.08,0,5,94.84
141.2,3,45.6,0.2,1,3,121.21
75.2,3,0.8,5.14,1,4,87.58
181.4,4,2.4,22.55,1,3,167.18
47.1,2,11.6,21.58,0,1,44.65
179.4,3,12.9,17.51,0,2,176.95
127.4,6,15.5,8.59,0,3,205.08
116.6,2,0.3,10.66,1,3,113.89
100.9,2,48.4,8.95,0,3,147.63
134.0,2,0.7,19.03,0,3,95.32
118.7,4,2.3,2.99,1,3,189.69
158.6,1,0.2,3.55,1,4,199.59
124.0,4,12.6,18.08,1,3,139.5
125.3,3,40.4,9.65,0,5,201.06
107.3,3,16.4,21.03,1,3,90.87
118.0,5,25.9,4.63,1,3,136.38
130.8,3,0.2,9.56,0,2,141.21
60.1,1,11.7,2.62,0,3,78.71
72.8,1,9.2,10.06,0,1,154.81
146.0,3,10.4,0.2,0,3,206.42
126.0,5,1.1,6.1,1,2,164.69
113.6,4,17.3,0.2,0,3,135.01
120.6,2,10.5,15.55,1,4,87.98
132.2,7,21.7,15.73,0,3,139.78
101.1,1,10.0,0.2,1,2,130.85
92.8,4,2.4,20.67,0,2,134.14
126.9,2,15.7,29.98,0,4,132.35
85.8,3,2.8,10.37,0,2,108.14
134.3,1,30.9,4.87,1,3,137.12
60.4,3,14.2,32.59,1,3,54.78
156.0,1,2.6,0.2,0,3,162.47
136.5,3,49.2,10.16,1,3,197.79
129.0,6,11.0,11.44,0,4,183.42
154.4,3,1.1,20.76,1,1,125.45
178.3,2,14.8,12.88,0,2,86.57
155.5,1,4.4,6.01,1,2,153.32
55.6,4,24.4,2.39,0,2,121.36
75.2,4,25.5,7.27,0,2,67.21
98.1,3,57.9,1.94,1,3,109.17
120.9,1,10.5,10.38,1,3,156.33
138.1,4,9.1,5.49,1,3,144.93
94.6,2,21.0,0.2,1,3,173.41
126.5,4,2.1,20.04,1,4,146.1
93.6,1,11.9,6.02,0,3,97.21
98.6,5,11.9,0.2,1,2,130.73
70.8,3,1.4,8.65,1,3,132.62
87.7,1,8.1,10.55,1,1,150.52
72.7,2,28.8,0.2,1,1,113.7
85.8,1,29.1,12.65,1,3,63.57
156.9,5,1.6,1.62,0,5,279.73
86.8,1,1.4,23.69,0,4,69.98
212.1,3,4.6,14.19,1,1,230.18
137.3,2,31.2,6.8,1,4,193.43
126.5,3,2.1,4.04,0,4,91.75
90.0,2,19.1,9.16,1,3,86.4
144.5,5,1.6,14.9,1,4,227.88
99.9,4,14.6,9.8,1,3,149.62
124.3,5,6.6,8.26,1,2,136.75
209.6,2,23.3,10.47,0,3,175.84
116.6,3,4.0,5.17,0,3,96.2
160.2,2,15.3,7.25,1,3,176.75
95.4,1,4.0,0.2,1,3,207.12
118.8,3,18.8,17.79,0,5,170.31
182.0,1,31.0,12.39,0,5,249.8
98.1,7,2.0,3.81,0,4,224.37
183.4,6,30.2,25.19,0,4,219.49
144.8,3,13.5,10.7,1,5,258.55
100.3,4,2.0,1.71,0,1,141.27
142.1,1,8.4,16.85,0,2,101.77
154.0,1,2.6,13.18,1,3,186.93
141.8,2,18.1,13.16,0,4,195.1
65.0,3,21.3,6.59,1,3,97.48
94.6,3,1.7,13.6,1,4,121.14
111.3,1,10.6,7.91,1,2,120.18
117.4,4,25.3,14.45,1,2,152.1
141.7,1,41.3,0.2,1,4,198.19
126.2,3,10.8,6.53,1,2,108.52
73.3,3,45.0,23.78,1,3,121.01
133.3,1,11.5,3.86,1,2,124.0
141.4,2,7.5,5.17,1,3,165.46
139.6,4,28.3,6.42,1,4,166.41
157.8,2,10.2,0.28,0,3,266.41
149.2,1,9.6,0.2,1,3,188.32
136.1,4,10.1,8.16,1,1,124.88
117.5,1,28.1,11.09,0,4,148.17
61.9,2,26.8,9.58,0,3,100.24
135.0,5,7.8,8.84,0,3,171.42
127.3,1,6.1,10.34,1,4,180.13
129.5,5,10.2,18.18,1,2,120.31
75.3,4,12.8,8.48,0,4,117.89
82.2,4,4.1,5.41,1,3,86.86
156.9,3,23.7,7.75,1,3,141.54
118.6,6,10.0,14.63,1,2,209.54
143.9,2,6.1,21.3,0,5,203.04
121.0,4,1.7,4.97,1,4,197.48
121.0,2,4.1,10.79,0,2,167.7
152.8,5,44.7,12.71,0,3,158.34
101.9,3,5.5,2.06,1,4,168.37
123.4,3,2.8,10.16,0,3,148.59
103.8,3,9.3,0.2,0,4,164.18
104.8,1,5.5,0.2,0,3,129.13
109.2,3,0.5,12.93,1,4,191.04
127.8,6,5.9,6.93,0,3,191.47
103.2,3,11.8,11.62,1,2,141.03
164.0,1,12.0,9.86,0,3,186.44
88.7,3,6.6,2.19,1,5,190.82
113.5,3,8.9,9.64,1,3,120.12
104.6,2,50.5,0.2,0,3,82.35
170.6,3,7.1,21.13,0,3,159.61
126.9,1,4.5,0.2,1,3,160.63
156.1,7,4.2,8.43,1,4,246.34
68.0,1,9.2,1.66,1,4,127.18
129.3,1,21.4,14.56,0,1,158.89
151.1,3,3.5,7.35,0,5,165.9
122.9,2,18.5,5.85,0,4,94.71
157.3,2,0.3,16.83,1,4,185.58
101.9,3,8.1,10.24,1,3,127.56
169.3,4,22.4,14.13,0,4,198.39
200.5,3,6.2,2.15,0,2,229.41
107.3,7,12.4,0.2,1,3,244.64
104.4,3,3.4,10.86,0,4,99.44
170.9,3,20.3,7.45,1,2,163.21
175.3,3,0.8,15.01,1,1,172.16
101.7,5,28.7,9.36,1,4,188.72
105.3,5,3.3,11.64,1,4,241.28
110.1,4,31.1,0.2,1,2,182.72
72.9,4,6.5,25.11,1,4,102.62
87.8,2,19.2,8.69,1,3,89.23
84.9,6,5.8,15.58,0,3,114.12
93.1,3,35.5,3.31,1,4,132.72
118.8,2,2.0,12.46,1,3,159.51
128.2,6,2.9,0.2,1,2,210.29
174.3,4,10.2,13.62,1,2,142.57
85.1,3,1.3,7.15,0,3,111.45
154.5,3,3.3,10.23,1,3,209.67
112.5,6,43.2,15.58,0,4,160.01
118.3,4,56.3,0.2,0,4,183.05
143.6,2,7.1,4.52,1,3,188.53
80.7,1,38.5,13.66,1,4,141.95
133.4,3,11.8,26.79,1,2,112.92
125.8,4,4.7,8.9,1,1,131.48
137.2,5,18.2,14.73,0,4,146.4
130.1,6,16.1,9.14,1,1,167.66
205.9,2,67.8,25.54,1,2,55.77
97.7,4,4.6,0.2,1,3,166.8
101.4,4,16.7,10.76,1,3,136.7
98.2,1,0.8,0.2,1,4,118.72
100.6,4,1.8,0.2,1,2,133.19
97.7,5,0.1,12.38,1,1,148.46
161.6,2,112.9,11.12,1,3,128.98
169.7,5,24.3,7.72,0,3,202.37
100.0,4,23.2,9.15,0,3,139.74
90.9,5,10.7,34.79,1,3,90.16
136.5,2,5.4,7.93,1,4,215.97
100.7,2,2.5,14.08,0,5,142.81
142.2,1,5.0,4.81,1,2,107.45
127.1,4,7.1,12.36,1,3,213.14
66.9,1,21.2,8.09,1,3,100.85
174.2,2,11.6,6.72,0,5,194.04
182.9,3,1.2,24.55,1,5,163.7
98.6,2,0.3,19.42,0,2,92.04
106.4,2,1.6,11.09,0,4,133.08
130.0,1,7.9,0.2,0,3,201.77
131.7,3,40.6,7.11,0,1,101.91
143.0,4,15.2,31.62,1,1,69.65
190.4,6,24.3,8.15,1,3,263.63
113.8,3,9.4,18.83,0,3,142.03
92.1,2,6.7,21.54,0,1,56.5
71.7,3,1.7,11.75,1,3,134.43
94.4,1,31.3,3.27,0,2,90.59
118.8,2,22.9,0.2,1,3,167.12
182.8,1,2.8,15.47,1,3,208.13
101.9,3,10.8,3.48,1,2,158.18
127.8,4,10.0,11.41,1,3,160.65
119.4,2,14.7,0.2,1,2,190.25
161.6,2,43.8,7.88,1,3,93.72
208.4,3,13.0,10.27,1,2,268.14
101.4,2,11.7,12.15,1,3,70.76
102.9,2,0.8,1.08,1,2,122.39
156.5,3,1.0,19.58,0,3,149.58
143.9,1,3.1,5.22,1,4,178.08
184.6,6,0.5,0.2,1,2,279.15
140.4,2,20.4,9.13,1,3,124.59
107.4,2,19.3,10.28,1,1,105.44
140.7,2,2.2,11.28,0,3,130.88
158.8,4,27.1,20.9,1,2,152.09
148.7,1,2.5,8.11,0,3,150.5
137.8,2,5.4,9.04,1,3,164.7
157.3,4,4.3,1.17,1,5,231.29
160.9,3,7.0,16.56,1,3,155.53
168.4,3,4.4,11.47,1,3,199.43
142.7,3,10.1,6.64,1,3,207.84
114.2,6,7.8,0.2,1,5,215.95
125.1,3,64.7,21.56,1,4,89.83
162.2,3,0.9,0.2,1,2,219.25
91.4,1,2.3,5.27,0,4,127.83
132.9,2,0.8,12.87,1,3,175.66
106.2,4,14.7,0.43,1,4,161.37
121.0,3,0.8,0.2,1,4,144.5
164.7,3,27.2,0.2,1,2,173.73
126.7,2,10.8,15.77,1,4,125.56
121.6,3,11.2,5.64,0,2,135.23
72.4,1,12.4,33.42,0,2,10.0
146.1,2,2.8,2.05,1,2,194.61
142.6,2,3.3,2.63,1,4,189.21
195.7,3,5.8,5.48,1,2,216.51
109.2,5,13.5,11.95,0,1,120.5
127.7,3,3.5,6.24,1,4,192.62
128.7,6,1.9,14.9,1,2,166.08
175.2,2,52.7,2.17,1,2,185.73
116.7,5,0.3,0.2,0,2,148.8
129.8,6,24.3,0.2,1,3,250.12
141.3,6,23.3,0.2,1,3,210.79
126.5,3,5.3,5.86,0,1,89.59
104.4,4,2.2,7.59,1,5,196.07
126.8,3,2.4,4.95,0,4,152.35
157.6,2,17.9,19.95,1,3,164.19
84.1,5,15.4,19.82,0,3,171.26
124.7,4,22.9,7.32,0,3,131.37
95.5,2,41.6,0.2,1,3,142.08
161.8,1,17.7,5.47,0,2,94.3
66.7,1,2.5,5.2,1,2,104.69
100.4,5,4.2,4.74,0,4,149.83
133.2,6,27.7,4.42,1,2,164.92
174.8,1,3.5,4.77,0,3,148.1
117.7,2,1.1,6.91,1,4,190.29
100.6,5,18.2,4.92,0,3,184.27
185.8,4,7.7,11.67,1,3,213.34
69.3,3,37.9,12.88,0,3,53.37
43.0,2,15.8,2.71,0,1,102.45
135.4,1,1.4,20.17,1,4,116.68
102.4,4,44.3,2.16,0,3,74.53
84.3,5,4.5,0.2,0,4,188.41
144.8,2,6.2,13.05,1,5,153.99
128.5,3,7.7,3.46,1,5,236.97
100.3,7,0.8,12.57,1,5,193.95
75.2,5,10.3,0.2,1,3,179.62
150.5,3,2.0,21.14,1,3,195.64
142.8,1,7.7,15.38,1,3,102.65
116.5,3,6.5,0.2,1,3,159.51
184.6,4,22.2,0.2,1,4,245.82
82.5,1,24.4,23.38,1,2,93.53
66.6,3,2.5,4.1,0,5,127.03
95.8,3,6.8,3.33,0,4,137.05
118.4,4,7.0,0.2,1,5,232.06
128.5,1,2.5,7.19,0,4,136.28
111.6,2,24.0,8.18,0,2,111.36
132.3,3,18.4,15.72,0,2,70.79
76.2,2,3.2,0.2,1,2,187.3
170.5,1,6.9,0.2,1,2,144.07
117.1,1,1.7,13.61,0,3,104.19
159.1,3,14.8,18.05,0,4,163.75
132.0,1,1.9,0.2,0,4,231.51
136.0,3,64.0,18.65,0,3,65.43
139.9,1,22.8,10.3,1,1,171.33
135.7,1,7.4,18.73,1,2,132.7
142.5,7,13.0,9.44,1,1,193.43
166.5,3,36.3,0.2,1,3,172.01
126.9,2,12.1,8.78,0,3,155.62
144.8,4,2.9,18.48,1,1,113.51
116.9,4,7.1,2.85,1,3,217.79
170.4,1,27.8,6.9,0,2,116.06
96.3,3,15.5,8.59,1,3,131.44
183.0,3,15.8,0.2,0,3,196.38
118.6,7,30.2,23.37,0,3,106.7
69.9,3,33.7,2.79,1,3,141.37
124.5,2,37.8,14.05,1,5,168.61
96.2,4,1.5,9.31,1,2,171.19
149.4,2,11.8,20.06,1,3,87.1
97.2,2,20.2,13.25,1,4,158.41
104.4,3,21.2,8.12,1,3,214.76
53.9,1,14.0,2.85,0,5,100.41
104.2,1,2.7,16.38,1,3,164.86
35.2,3,23.9,0.2,0,3,82.76
64.6,4,19.1,15.17,1,1,30.01
146.6,6,1.4,1.21,1,3,221.43
147.5,4,9.3,20.02,0,2,164.73
134.9,2,2.9,11.29,1,2,115.11
86.2,2,6.2,15.15,1,3,86.94
118.3,7,0.3,10.66,0,3,200.69
119.9,4,7.7,0.2,0,1,146.66
79.5,3,12.0,3.11,0,3,142.33
172.6,1,14.5,15.38,1,3,166.53
150.7,2,16.3,11.33,1,2,160.45
112.3,1,27.1,19.45,0,3,69.65
120.9,3,3.6,13.23,0,4,158.82
127.3,4,1.9,2.27,1,3,164.38
48.5,1,28.6,3.63,0,3,109.1
111.3,2,2.6,10.82,1,3,118.71
96.1,5,55.2,0.2,1,3,189.67
84.9,5,27.7,23.39,1,5,125.61
110.2,3,10.4,13.53,1,3,142.14
182.9,1,59.8,19.82,1,1,89.05
142.4,3,1.5,0.2,1,3,169.2
100.0,2,5.4,19.96,1,4,67.06
140.0,5,15.3,27.85,0,1,68.12
